Unnamed: 0,lemma_1,lemma_2,year,genre,source,text,clean_text,sentence_key
46,expansive,relationship,2012,BLOG,...ywiththeleadpipe.org,potential new editor to contribute as a guest author with the hopes that a more expansive relationship might follow.  Accomplishments # In the Library with the Lead Pipe has,potential new editor to contribute as a guest author with the hopes that a more expansive relationship might follow. Accomplishments # In the Library with the Lead Pipe has,5b217de4fb93f8f49e1ae0a8420491a9
47,expansive,relationship,2011,ACAD,Education,"dynamic (Brooks &; Brooks, 1999), and framed by a trusting but expansive relationship (Meier, 2002). Just as teaching is intentional, so must","dynamic (Brooks &; Brooks, 1999), and framed by a trusting but expansive relationship (Meier, 2002). Just as teaching is intentional, so must",49557ba8afbacfbd19d02c2dcb10d2eb
48,outside,power,2019,SPOK,Fox_Baier,"to overthrow the Monroe doctrine, which for centuries has said no outside interference from outside powers in the western hemisphere. In order to really elevate this situation, I","to overthrow the Monroe doctrine, which for centuries has said no outside interference from outside powers in the western hemisphere. In order to really elevate this situation, I",e1fa246b79b7ad2247f49a8a01aa9844
49,outside,power,2019,FIC,Analog,"predates that. "" # She sneered. "" Yet it must rely on an outside power source. "" # "" And? "" # "" And isn't that","predates that. "" # She sneered. "" Yet it must rely on an outside power source. "" # "" And? "" # "" And isn't that",deb3a6720826934619c5b82361501ec5
50,outside,power,2019,NEWS,USA TODAY,"really, because of how small the rosters are and how large the influence of outside power brokers is. # This season was a confirmation of it - repeatedly.","really, because of how small the rosters are and how large the influence of outside power brokers is. # This season was a confirmation of it - repeatedly.",9fe315b6e52d9430be3b3cc914c6be06
51,outside,power,2018,MAG,The Atlantic,in order to help liberalism write a new story for our own time. # Outside powers have been central to the nuclear crisis -- but for a few peculiar weeks,in order to help liberalism write a new story for our own time. # Outside powers have been central to the nuclear crisis -- but for a few peculiar weeks,b01a8aa57c9a4442920c04f6294f4dcf
52,outside,power,2018,ACAD,Foreign Affairs,"far worse, as the Iraqis and the Libyans know only too well: when outside powers overthrow autocrats sitting atop failing states, open-ended chaos is much more likely to","far worse, as the Iraqis and the Libyans know only too well: when outside powers overthrow autocrats sitting atop failing states, open-ended chaos is much more likely to",8c0a3c7b6f6471de7798ea91429ffa9e
53,outside,power,2017,ACAD,The Middle East Journal,"forces for fear of filling enemy ranks. Local leaders promptly proceeded to play these outside powers against one another, requiring concessions in material support and local autonomy that neither","forces for fear of filling enemy ranks. Local leaders promptly proceeded to play these outside powers against one another, requiring concessions in material support and local autonomy that neither",549d59187b4a1dd09e83525bb9d4e3ca
54,outside,power,2017,ACAD,The Middle East Journal,": in the absence of integration into a stable international system, interventionist impulses by outside powers serve not to induce social change or development but only to sustain local political",": in the absence of integration into a stable international system, interventionist impulses by outside powers serve not to induce social change or development but only to sustain local political",11fc463a46b89d3e87961c8da004b81d
55,outside,power,2017,ACAD,Journal of Film and Video,"his brother's presence and what it has come to signify, ultimately thwarting the outside power interests who attempt to rewrite the town. # Although the narrative structure invites","his brother's presence and what it has come to signify, ultimately thwarting the outside power interests who attempt to rewrite the town. # Although the narrative structure invites",b249989efe35d2dcfa31d68d1ef467cd
