name,type,isFromLanguage,label,hasLemma
LexicalUnit_1819,"['LexicalUnit', 'NamedIndividual', 'LexicalUnit']",['English'],['confine.v'],['confine.v']
LexicalUnit_3438,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['python.n'],['python.n']
LexicalUnit_2487,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['unclean.a'],['unclean.a']
LexicalUnit_721,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['feet.n'],['feet.n']
LexicalUnit_1937,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['droplet.n'],['droplet.n']
LexicalUnit_839,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['hallway.n'],['hallway.n']
LexicalUnit_1711,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['purple.a'],['purple.a']
LexicalUnit_5913,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['bobble.v'],['bobble.v']
LexicalUnit_8015,"['LexicalUnit', 'NamedIndividual', 'LexicalUnit']",['English'],['sustainability.n'],['sustainability.n']
LexicalUnit_8682,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['level.n'],['level.n']
LexicalUnit_2509,"['LexicalUnit', 'NamedIndividual', 'LexicalUnit']",['English'],['newfound.a'],['newfound.a']
LexicalUnit_6323,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['pathway.n out'],['pathway.n out']
LexicalUnit_6401,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['ourselves.n'],['ourselves.n']
LexicalUnit_5359,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['canter.v'],['canter.v']
LexicalUnit_3995,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['cling.v'],['cling.v']
LexicalUnit_5110,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['lighted.a'],['lighted.a']
LexicalUnit_1535,"['LexicalUnit', 'NamedIndividual', 'LexicalUnit']",['English'],['global warming science.n'],['global warming science.n']
LexicalUnit_7587,"['LexicalUnit', 'NamedIndividual', 'LexicalUnit']",['English'],['taskmaster.n'],['taskmaster.n']
LexicalUnit_5147,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['thriving.a'],['thriving.a']
LexicalUnit_4498,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['hilarious.a'],['hilarious.a']
LexicalUnit_8600,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['airplane.n'],['airplane.n']
LexicalUnit_827,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['attic.n'],['attic.n']
LexicalUnit_1291,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['climate change.n'],['climate change.n']
LexicalUnit_2061,"['LexicalUnit', 'NamedIndividual', 'LexicalUnit']",['English'],['climate criminal.n'],['climate criminal.n']
LexicalUnit_6080,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['minerals.n'],['minerals.n']
LexicalUnit_8243,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['thirst.n'],['thirst.n']
LexicalUnit_3064,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['snag.n'],['snag.n']
LexicalUnit_2261,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['rotten.a'],['rotten.a']
LexicalUnit_3553,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['dovetail.v'],['dovetail.v']
LexicalUnit_6458,"['LexicalUnit', 'NamedIndividual', 'LexicalUnit']",['English'],['canker.n'],['canker.n']
