name,hasBoundRole2,type,label,hasBoundRole1
Binding_913,['Role_Frame_Create_object_creator'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Textile.textile_creator=Create_object.creator'],['Role_Frame_Textile_textile_creator']
Binding_267,['Role_Frame_Motion_along_a_path_path'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Downward motion.vertical_path=Motion along a path.path'],['Role_Frame_Downward_motion_vertical_path']
Binding_775,['Role_Frame_Recreational_competition_competitor1'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Race.racer1=Recreational competition.competitor1'],['Role_Frame_Race_racer1']
Binding_938,['Role_Frame_Motion_to_a_bounded_region_bounded_region'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Trespassing.territory=Motion to a bounded region.bounded_region'],['Role_Frame_Trespassing_territory']
Binding_147,['Role_Frame_Work_scenario_objective'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Child care.childcare_objectives=Work scenario.objective'],['Role_Frame_Child_care_childcare_objectives']
Binding_479,['Role_Frame_Gun_rights_rights_holder'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Gun rights.gun_owner=rights_holder'],['Role_Frame_Gun_rights_gun_owner']
Binding_628,['Role_Frame_Motion_mover'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Motion-affecting external factors.mover=Motion.mover'],['Role_Frame_Motion_affecting_external_factors_mover']
Binding_686,['Role_Frame_Part_whole_possessed_objects'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Part whole.parts=possessed_objects'],['Role_Frame_Part_whole_parts']
Binding_465,['Role_Frame_Government_institution_functions'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Government institution US.functions=Government institution.functions'],['Role_Frame_Government_institution_US_functions']
Binding_883,['Role_Frame_Communication_message'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Speaking.message=Communication.message'],['Role_Frame_Speaking_message']
Binding_724,['Role_Frame_Complex_physical_object_object_location'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Physical structure.structure_location=Complex physical object.object_location'],['Role_Frame_Physical_structure_structure_location']
Binding_78,['Role_Frame_Process_protagonist'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Being at a location.experiencer=Process.protagonist'],['Role_Frame_Being_at_a_location_experiencer']
Binding_496,['Role_Frame_Containment_boundary'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Heating fluid.container=Containment.boundary'],['Role_Frame_Heating_fluid_container']
