source,target,index,year,genre,source,,,,text,,,,,,,,,,,,,,,,,target,count
burn,embarrassment,14,2007,FIC,SouthernRev,,,,"interrupted a woman who has recently been gang-raped in a crack house. Her cheeks burn with embarrassment. "" I'm sorry, "" she says. "" My name",,,,,,,,,,,,,,,,,impatience,5
burn,embarrassment,15,2005,FIC,Analog,,,,". "" I stifle the impulse to defend myself, and walk out, face burning with embarrassment. "" Hey, Larry, I hear you demolished the University West",,,,,,,,,,,,,,,,,indignation,7
burn,embarrassment,16,2005,FIC,Bk:BlackCreek,,,,"there she'd sat, in her seat in the last row, her face burning with embarrassment as a horrible silence fell over the room and half the class turned",,,,,,,,,,,,,,,,,irritation,1
burn,embarrassment,17,2002,FIC,LiteraryRev,,,,"she might want to begin again, on different terms, her terms? She burned with embarrassment and shame. # "" She's like a meteor. She's",,,,,,,,,,,,,,,,,jealousy,10
burn,embarrassment,19,1998,FIC,Mov:Godzilla,,,,INT. COMMAND TENT - SAME 119 Everyone stares at the television. Major Hicks burns with embarrassment. CAIMAN (filtered)... But why? Research team member Dr.,,,,,,,,,,,,,,,,,longing,1
burn,embarrassment,20,1994,FIC,Bk:NorthMontana,,,,a pair of lovers sneaking away for the weekend; even the thought makes me burn with embarrassment as the traffic suddenly lurches forward. The tunnel itself is no erotic,,,,,,,,,,,,,,,,,love,16
burn,embarrassment,21,1991,FIC,BkSF:FireSea,,,,"n't think so. "" "" Edmund, "" I said, feeling my face burn with embarrassment, I'm not sure what I think. The map itself does",,,,,,,,,,,,,,,,,loyalty,1
burn,anger,1,2017,FIC,Bk:BeyondYourTouch,,,,"He kept walking up the footpath, wading through the sheep. # My cheeks burned with anger. He couldn't be planning to... he wouldn't! #",,,,,,,,,,,,,,,,,lust,7
burn,anger,3,2014,FIC,Bk:BookStone,,,,"things about to spring; disembodied renegade shouts filled the air, the streets below burning with anger freed by the cover of darkness. Manhattan, too, looked different",,,,,,,,,,,,,,,,,madness,1
burn,anger,5,2013,FIC,FantasySciFi,,,,"an unpleasant laugh. "" You think it's funny? "" she said, burning with anger. "" Coming from someone who's been scamming them on Cet Four",,,,,,,,,,,,,,,,,need,3
burn,anger,7,2012,FIC,Bk:Untouched,,,,"tent would see how he'd thrown her entire body into overdrive. Her cheeks burned with anger, fear, and lust -- a potent combination. Kerry straightened her",,,,,,,,,,,,,,,,,outrage,1
burn,anger,15,2002,FIC,Highlights,,,,"sea. A few bite-sized sardines flipflopped free on the beach. Josh's ears burned with anger and disappointment. Grandpapa, Uncle Ant6nio, and Papa all struggled to",,,,,,,,,,,,,,,,,passion,18
burn,anger,17,1998,FIC,Analog,,,,"bright morning sunlight that came through the bedroom window seemed to make her dark face burn with anger. "" Help is coming, and you didn't tell me?",,,,,,,,,,,,,,,,,pity,
burn,anger,20,1990,FIC,Mov:JacobsLadder,,,,to his chest. Her tongue darts in and out suggestively. He eyes are burning with anger. Her mouth poises itself over his nipple. She toys with it,,,,,,,,,,,,,,,,,possibility,
burn,desire,2,2012,FIC,IowaRev,,,,"hand on her breast; who wanted to grab a pretty woman, a friend burning with desire, complaining about the normative brotherly lust of marriage. And the way",,,,,,,,,,,,,,,,,pride,
burn,desire,8,2007,FIC,NewEnglandRev,,,,"spit on her. When you couldn't lay a finger on her, you burned with desire, but now you've had her, right? So, sire",,,,,,,,,,,,,,,,,purpose,
burn,desire,9,2007,FIC,Bk:LethallyBlond,,,,"group photo of the ensemble cast, all perfectly coiffed and smileless, their eyes burning with desire to see justice done and have the show win its time slot in",,,,,,,,,,,,,,,,,rage,
burn,desire,10,2006,FIC,AntiochRev,,,,"a loquacious bird on a low, covered branch being eyed by a thick tomcat burning with desire. # Two hours later, the rain no longer falling, I",,,,,,,,,,,,,,,,,regret,
burn,desire,12,2000,FIC,SouthwestRev,,,,"or taxis, others that escape in two's rush into the nearest hotel, burning with desire for each other. Some sit in cafes, watching the performance.",,,,,,,,,,,,,,,,,relish,
burn,desire,15,1995,FIC,Bk:AllGlitters,,,,"eyes and waited for him to reach my lips, which by that time were burning with desire. As we made love, we heard the music and the murmuring",,,,,,,,,,,,,,,,,resentment,
burn,passion,6,2009,FIC,Bk:DevilsPunchbowl,,,,"# He stubs out his cigarette on a gravestone and leans forward, his eyes burning with passion I thought long gone from him. "" If I tell you more",,,,,,,,,,,,,,,,,satisfaction,
burn,passion,7,2005,FIC,Analog,,,,"you even talking about? We were fresh, we were new, we were burning with passion for the first time in our tiny little lives. What's the",,,,,,,,,,,,,,,,,scorn,
burn,passion,8,2005,FIC,Analog,,,,"at all, the Antarctican matter programmer, but rather the archived student, still burning with passion, over whom I had pined for a decade and more, risking",,,,,,,,,,,,,,,,,self-consciousness,
burn,passion,11,1998,FIC,Analog,,,,"that Richmond had put upon the sea seeking to topple his throne. His eyes burned with passion as they glared unwaveringly into hers. "" Is the chair empty?",,,,,,,,,,,,,,,,,shame,
burn,passion,12,1995,FIC,Ms,,,,"never needs laundering but magically cleans and renews itself each day. My own heart burns with passions that I can't begin to understand. I love our home,",,,,,,,,,,,,,,,,,significance,
burn,rage,1,2019,FIC,The Dalhousie Review,,,,"a bar sharing a joke about the hopelessness of husbands, but inside she is burning with rage. "" It's not in my head. There's something there",,,,,,,,,,,,,,,,,sorrow,
burn,rage,2,2019,FIC,Fan Fic,,,,"she had a rough idea of what happened with Pekka but it still made her burn with rage. He revealed his real name, Kaz Rietveld, making sense of",,,,,,,,,,,,,,,,,spirit,
burn,rage,7,2009,FIC,Bk:HittinBricksUrban,,,,"am? Tonight I'ma let you get it # for free. "" # Eva burned with rage, but he was right. She feared what he # had,",,,,,,,,,,,,,,,,,surprise,
burn,rage,8,1999,FIC,Bk:WhenIFallInLove,,,,"she said, hanging up the phone and looking heavenward, hoping for strength. Burning with rage, Bryan propelled the chair faster than any of them had ever seen",,,,,,,,,,,,,,,,,suspicion,
burn,rage,9,1998,FIC,Analog,,,,"and not against me. She made the right choice. "" Anna's face burned with rage. "" You call killing herself the right choice? If you were",,,,,,,,,,,,,,,,,uncertainty,
burn,rage,10,1997,FIC,Mov:Anastasia,,,,"n't as powerful as you thought! Rasputin walks slowly toward Anya and Dmitri, burning with rage. # RASPUTIN # I'll show you! # DMITRI # Run",,,,,,,,,,,,,,,,,worry,
burn,rage,11,1995,FIC,Mov:Metropolis,,,,was dying. # CHRISTOPH # (a whisper) Yes... Tanner's eyes burn with rage. # TANNER # You sealed off the system. When it crashes,,,,,,,,,,,,,,,,,zeal,
burn,rage,12,1994,FIC,BkSF:NeptuneCrossing,,,,/ he choked on the word /? died! / Bandicut felt himself suddenly burning with rage. /Before you started moking with my mind! / ///? I,,,,,,,,,,,,,,,,,,
burn,rage,13,1992,FIC,Tradeswomen,,,,"it, and leaned against the truck to watch her. # Her ears were burning with rage. It was a commingling of pride, anger, pain and frustration",,,,,,,,,,,,,,,,,,
burn,rage,14,1992,FIC,LiteraryRev,,,,", hastily drew her clothes together in front. But in her heart, she burned with rage and mortification. The familiar policeman was saying: "" When you,",,,,,,,,,,,,,,,,,,
burn,hate,1,2008,FIC,FantasySciFi,,,,"dotage is not a valid comparison, "" he finally decided. "" Who could burn with hatred for deeds done fifteen generations ago? Could you? "" "" Ah",,,,,,,,,,,,,,,,,,
burn,hate,2,1999,FIC,Analog,,,,"area of calm. Memnon and his Greek mercenaries stood disciplined and ready. Alchylus burned with hatred. "" Damned hoplite traitors. "" He prayed to whatever gods who",,,,,,,,,,,,,,,,,,
burn,hate,3,1998,FIC,ModernAge,,,,"them -- you have just seen him: Jacquot, a living skeleton, but burning with hatred -- came to help me with the distribution of the food. Each",,,,,,,,,,,,,,,,,,
burn,hate,4,1998,FIC,Mov:BigLebowski,,,,"on, Walter, we're ending this thing cheap. Walter's eyes, burning with hatred, are locked on Dieter's. # WALTER # What's mine is mine",,,,,,,,,,,,,,,,,,
burn,hate,6,1992,FIC,BkSF:CoralKingdom,,,,"soft as a breeze, the golden doors began to swing open. The man burned with hatred, a hot fire fanned by the bellows of a slowly returning memory",,,,,,,,,,,,,,,,,,
burn,hate,7,1990,FIC,Bk:FamilyPictures,,,,"the old man's face an expression of eager, contemptuous amusement. His heart burned with hatred for his father and for the town he lived in. It was",,,,,,,,,,,,,,,,,,
burn,indignation,8,1994,FIC,Bk:Recessional,,,,"I must sec if I can undo the damage I did,' and, burning with indignation, he wcnt to where the members of the tertulia waited:'",,,,,,,,,,,,,,,,,,
burn,love,8,1990,FIC,Bk:MigrantSouls,,,,reputation and life she used as the perfect model of the pure young woman who burns with love for Jesus. She herself may have been Jesus Angel's wife and,,,,,,,,,,,,,,,,,,
burn,curiosity,1,2017,FIC,Bk:Marked,,,,"is more dominant-whatever that may be. "" # Janie rubbed her chin, nearly burning with curiosity. She and Zane had met in dream worlds her entire life,",,,,,,,,,,,,,,,,,,
burn,curiosity,2,2014,FIC,NewEnglandRev,,,,"eat since morning, the young man quickly went back to the open book. Burning with curiosity and a fever, he searched for the place where he had left",,,,,,,,,,,,,,,,,,
