,lemma_1,lemma_2,year,genre,source,text,clean_text
26,amount,small,2012,BLOG,regretsy.com,"bad (just in email and not in their statement, but still) this amount is small potatoes for a company of that size to contain a PR disaster,","bad (just in email and not in their statement, but still) this amount is small potatoes for a company of that size to contain a PR disaster,"
27,amount,small,2012,BLOG,wgem.com,"3690807 # Investment needs discretion. Whether the amount is small or big, you need to have complete information about the place or","3690807 # Investment needs discretion. Whether the amount is small or big, you need to have complete information about the place or"
28,amount,small,2011,MAG,Esquire,"When Ruben received his next paycheck, it didn't really surprise him that the amount was smaller than usual, since the tornado had entirely obliterated the store, and","When Ruben received his next paycheck, it didn't really surprise him that the amount was smaller than usual, since the tornado had entirely obliterated the store, and"
29,amount,small,2010,ACAD,SchoolPsych,": Although TOWRE Phonemic Decoding Efficiency and Spelling Fluency growth added significant variance, the amount was small (less than 1%); the ROC curve analyses yielded an AUC",": Although TOWRE Phonemic Decoding Efficiency and Spelling Fluency growth added significant variance, the amount was small (less than 1%); the ROC curve analyses yielded an AUC"
30,amount,small,2009,NEWS,AssocPress,"up funds and publicity. She pays the dancers when she can, but the amounts are small and inconsistent. # No wonder that before the New York premiere at","up funds and publicity. She pays the dancers when she can, but the amounts are small and inconsistent. # No wonder that before the New York premiere at"
31,amount,small,2005,NEWS,CSMonitor,"about a half-ton of explosive. Some 1,000 of them represent 500 tons. That amount is smaller than US forces dropped on Tokyo in two days, March 9-10,","about a half-ton of explosive. Some 1,000 of them represent 500 tons. That amount is smaller than US forces dropped on Tokyo in two days, March 9-10,"
32,amount,small,2003,NEWS,USAToday,"health care since 2000. While the percentages are large, some of the dollar amounts are small: an office visit co-payment going from $ 10 to $ 15,","health care since 2000. While the percentages are large, some of the dollar amounts are small: an office visit co-payment going from $ 10 to $ 15,"
33,amount,small,1998,NEWS,SanFranChron,"took a similar post under Starr, strongly disagrees. # "" Just because the amount is small doesn't make the crime any less serious, "" he said.","took a similar post under Starr, strongly disagrees. # "" Just because the amount is small doesn't make the crime any less serious, "" he said."
34,amount,small,1998,ACAD,PhysicsToday,"two paths differ in energy by only 0.14 eV. Although energy differences of this amount are small compared to a desorption energy of about 3 eV, they are sufficient","two paths differ in energy by only 0.14 eV. Although energy differences of this amount are small compared to a desorption energy of about 3 eV, they are sufficient"
35,amount,small,1991,MAG,ConsumResrch,"a family would have to earn an additional $570 a year. # Although that amount is small, it affects a large number of American households. According to the","a family would have to earn an additional $570 a year. # Although that amount is small, it affects a large number of American households. According to the"
36,amount,small,1990,ACAD,AfricaToday,"$80 billion in 1984, and have soared to $143.7 billion in 1990. These amounts are small, compared to other parts of the developing world, Latin America for","$80 billion in 1984, and have soared to $143.7 billion in 1990. These amounts are small, compared to other parts of the developing world, Latin America for"
37,increase,small,2019,MAG,Medical Xpress,"risk associated with the fathers' testicular cancer, regardless of treatment, but that increase was small, from 3.5 to 4.4 children in every 100 born, and should","risk associated with the fathers' testicular cancer, regardless of treatment, but that increase was small, from 3.5 to 4.4 children in every 100 born, and should"
38,increase,small,2018,ACAD,Systematic Reviews,"both groups showed an increase of craving to smoking stimuli at post-exposure, but this increase was smaller in the avoid group than in the attend group. Female participants did","both groups showed an increase of craving to smoking stimuli at post-exposure, but this increase was smaller in the avoid group than in the attend group. Female participants did"
39,increase,small,2016,ACAD,J Real Estate Literature,"NTNs with respect to 2014, whereas in the Center and in the South this increase was smaller, and equal to 5.3% and 4.1%, respectively. The total amount","NTNs with respect to 2014, whereas in the Center and in the South this increase was smaller, and equal to 5.3% and 4.1%, respectively. The total amount"
40,increase,small,2012,WEB,politifact.com,H.W. Bush and in 1993 by President Bill Clinton. # The health care-related tax increases are smaller than the tax increase signed into law by President Ronald Reagan in 1982,H.W. Bush and in 1993 by President Bill Clinton. # The health care-related tax increases are smaller than the tax increase signed into law by President Ronald Reagan in 1982
41,increase,small,2012,BLOG,researchpipeline.com,wary -- watch out for the moon and sun on opposite horizons! But the increase was small enough that it would be fruitless to base any personal actions on them,wary -- watch out for the moon and sun on opposite horizons! But the increase was small enough that it would be fruitless to base any personal actions on them
42,increase,small,2012,BLOG,wattsupwiththat.com,", the temperature anomaly in the next month would be higher. When the Co2 increase was smaller (closer to 0.1%), the temperature anomaly for the next month",", the temperature anomaly in the next month would be higher. When the Co2 increase was smaller (closer to 0.1%), the temperature anomaly for the next month"
43,increase,small,2008,ACAD,Bioscience,"this increase can be passed on to consumers. For other commodities, the cost increase is smaller, and it is substantially smaller for the total consumer food bill.","this increase can be passed on to consumers. For other commodities, the cost increase is smaller, and it is substantially smaller for the total consumer food bill."
44,increase,small,2003,SPOK,NPR_Saturday,"And while the number of children living in poverty edged up in 2002, the increase was small compared with previous recessions, according to Robert Rector of the conservative Heritage","And while the number of children living in poverty edged up in 2002, the increase was small compared with previous recessions, according to Robert Rector of the conservative Heritage"
45,increase,small,2001,MAG,ScienceNews,", low-GI meals elevated the volunteers' good HDLs, although the magnitude of that increase was small, just 6 percent. More surprising, the Australian team reported in",", low-GI meals elevated the volunteers' good HDLs, although the magnitude of that increase was small, just 6 percent. More surprising, the Australian team reported in"
46,increase,small,2000,ACAD,IBMR&D,"on the processor to have very few execution cycles, in which case the throughput increase is small. If all tasks use high priority, the purpose of priority is","on the processor to have very few execution cycles, in which case the throughput increase is small. If all tasks use high priority, the purpose of priority is"
47,increase,small,2000,ACAD,IBMR&D,"over that for the case in which each service uses its own channels. This increase is small, however, when the system carries primarily traffic from a single type","over that for the case in which each service uses its own channels. This increase is small, however, when the system carries primarily traffic from a single type"
48,increase,small,1998,ACAD,Bioscience,", although increases in nitrate cycling and loss were detected in most stands, these increases were small relative to the additions, showing that nitrogen retention efficiency was relatively high",", although increases in nitrate cycling and loss were detected in most stands, these increases were small relative to the additions, showing that nitrogen retention efficiency was relatively high"
49,increase,small,1997,ACAD,SocialWork,"30.8 percent at the first interview to 76.0 percent at the third interview. The increase was smaller for the Latin Kings, but employment for members of this gang was","30.8 percent at the first interview to 76.0 percent at the third interview. The increase was smaller for the Latin Kings, but employment for members of this gang was"
50,increase,small,1994,NEWS,NYTimes,"not keep up with the trend projected from the aging of the population, price increases were smaller than in the past and the mix shifted toward less expensive products,","not keep up with the trend projected from the aging of the population, price increases were smaller than in the past and the mix shifted toward less expensive products,"
51,increase,large,2012,WEB,sciencedaily.com,"upper portions of the ocean to 700 meters (2,300 feet) depth. The increase was largest at the ocean surface,.59-degree Celsius (1.1-degree Fahrenheit), decreasing","upper portions of the ocean to 700 meters (2,300 feet) depth. The increase was largest at the ocean surface,.59-degree Celsius (1.1-degree Fahrenheit), decreasing"
52,increase,large,2012,BLOG,...gs.nicholas.duke.edu,10 percent versus less than 1 percent) than in the earlier period. The increase is large enough that it is unlikely to be explained by natural variability. #,10 percent versus less than 1 percent) than in the earlier period. The increase is large enough that it is unlikely to be explained by natural variability. #
53,increase,large,2012,BLOG,theoildrum.com,"down in the range where decreasing EROI would start offsetting increasing efficiency, unless efficiency increases are larger than I am estimating. Note: This is a different graph than","down in the range where decreasing EROI would start offsetting increasing efficiency, unless efficiency increases are larger than I am estimating. Note: This is a different graph than"
54,increase,large,2011,ACAD,CommCollegeR,"if they first attend a community college (Hilmer, 1997). This quality increase is largest for students who come from poor families, are of low ability,","if they first attend a community college (Hilmer, 1997). This quality increase is largest for students who come from poor families, are of low ability,"
55,increase,large,2009,ACAD,GeorgiaHisQ,"men. While the percentage of violent crime prosecutions increased for both groups, the increase was larger for slave women, 49 percent to 27 percent. (n38) #","men. While the percentage of violent crime prosecutions increased for both groups, the increase was larger for slave women, 49 percent to 27 percent. (n38) #"
56,increase,large,1996,SPOK,CNN_News,": Well, for one thing, it's not true. The 1982 tax increase was larger in terms of real dollars - that is to say, inflation-adjusted dollars",": Well, for one thing, it's not true. The 1982 tax increase was larger in terms of real dollars - that is to say, inflation-adjusted dollars"
57,increase,large,1996,SPOK,CNN_News,"think we had a very good and solid program, and the' 82 tax increase was larger in inflation-adjusted dollars and a larger percentage of the economy. LOU WATERS","think we had a very good and solid program, and the' 82 tax increase was larger in inflation-adjusted dollars and a larger percentage of the economy. LOU WATERS"
58,increase,large,1996,ACAD,Lancet,"of the disease, resulting in more than a two-fold increase in incidence. The increase was largest for infants aged under 1 year. Even if we ignore the 3-week","of the disease, resulting in more than a two-fold increase in incidence. The increase was largest for infants aged under 1 year. Even if we ignore the 3-week"
