,lemma_1,lemma_2,year,genre,source,text,clean_text,sentence_key
38,site,action,2012,WEB,ncbi.nlm.nih.gov,#to determine whether the sclera is a potential site of action for mAChR antagonists.  METHODS: # Cell lines of human scleral fibroblasts,#to determine whether the sclera is a potential site of action for mAChR antagonists. METHODS: # Cell lines of human scleral fibroblasts,56a2537ed93cff4da8bc24c3ffff43b2
39,site,action,2012,WEB,ncbi.nlm.nih.gov,#finding indicates that the sclera is a potential site of action for the used mAChR antagonists in,#finding indicates that the sclera is a potential site of action for the used mAChR antagonists in,da9b27851ddbc3efa14a4371ca65418b
40,site,action,2012,WEB,reuters.com,#new avenues for assessing the efficacy and possible site of action of new treatments,#new avenues for assessing the efficacy and possible site of action of new treatments,3fe8edde9f72817311cbd38c2da20cb1
41,site,action,2012,WEB,agbioforum.org,#Number of different herbicide active ingredients and herbicide sites of action used on at least 10% of hectares from 1995 to 2005 in soybean in,#Number of different herbicide active ingredients and herbicide sites of action used on at least 10% of hectares from 1995 to 2005 in soybean in,1cfe72e52f48384ea9066c927780c45c
42,site,action,2012,WEB,ncbi.nlm.nih.gov,"#three mechanisms are described below, and their sites of action in the cell are outlined in Figure 12-6. The first two mechanisms are","#three mechanisms are described below, and their sites of action in the cell are outlined in Figure 12-6. The first two mechanisms are",978fb089bd1fa46c4e3de4dbc8f0d469
43,site,action,2012,BLOG,healthcanal.com,"#against HCV. "" Our molecules use several sites of action in inhibiting the viral protease. Amongst these one which had not previously been","#against HCV. "" Our molecules use several sites of action in inhibiting the viral protease. Amongst these one which had not previously been",d455d36029d0b6b2768a014c26ac2eaa
44,site,action,2012,BLOG,fdalawblog.net,"#this NCE while exerting therapeutic activity at the site of action, and reviewers should appreciate that neither fluticasone furoate nor fluticasone pripionate is ever","#this NCE while exerting therapeutic activity at the site of action, and reviewers should appreciate that neither fluticasone furoate nor fluticasone pripionate is ever",e79478af29d378c79bd24934e311fd58
45,site,action,2009,ACAD,DrugIssues,"#have been largely identified both at the initial site of action and in the circuitry involved. In human imaging studies, decreases in dopaminergic","#have been largely identified both at the initial site of action and in the circuitry involved. In human imaging studies, decreases in dopaminergic",568ff65d593be0c5baca380dfe053459
46,site,action,2009,ACAD,DrugIssues,"#have been largely identified both at the initial site of action (receptor, reuptake site, etc.) as well as the circuitry involved","#have been largely identified both at the initial site of action (receptor, reuptake site, etc.) as well as the circuitry involved",cbcec469d9e50a774a4d613360fab82a
47,site,action,2008,ACAD,EarNoseThroat,"#) These two classes of drugs have different sites of action; echinocandins inhibit fungal cell wall formation, and triazoles inhibit cell membrane synthesis","#) These two classes of drugs have different sites of action; echinocandins inhibit fungal cell wall formation, and triazoles inhibit cell membrane synthesis",18e130e510612aed6c3753685d9158c1
48,site,action,2008,ACAD,Bioscience,"#) must be present at a specific biological site of action (a membrane or cellular receptor, for example). The concentration-effect threshold","#) must be present at a specific biological site of action (a membrane or cellular receptor, for example). The concentration-effect threshold",b96cf156659464c6b8c5aaf24a6f27f7
49,site,action,2007,ACAD,OrthoNursing,#even calcium and vitamin D all affect this site of action. The aging process alone contributes a small fraction to bone loss. Physiological,#even calcium and vitamin D all affect this site of action. The aging process alone contributes a small fraction to bone loss. Physiological,4457d16a64798ef10f42128ba9484fd3
50,site,action,2006,ACAD,EarNoseThroat,"#3) drug can be delivered to the site of action in higher concentrations, (4) the side effects of systemic drug therapy","#3) drug can be delivered to the site of action in higher concentrations, (4) the side effects of systemic drug therapy",607c642c0038fa76b25f1f91687a3d02
51,site,action,2003,ACAD,Lancet,#the concentration of intravenous anaesthetic agents at the site of action in the brain has prompted the development of systems to detect the depth of,#the concentration of intravenous anaesthetic agents at the site of action in the brain has prompted the development of systems to detect the depth of,899f4e51ca096c21e39df43d877dad30
52,site,action,2001,ACAD,ArtBulletin,"## Cholera's primary, most visible, site of action was, of course, the human body, whose extreme physiological devastation became","## Cholera's primary, most visible, site of action was, of course, the human body, whose extreme physiological devastation became",a25b8b53a455e28f219a591951d0f29d
53,site,action,1999,ACAD,Bioscience,"#this toxin, researchers have pinpointed a potential site of action for a new type of painkiller. Just in the last few years,","#this toxin, researchers have pinpointed a potential site of action for a new type of painkiller. Just in the last few years,",583079052774b98d47853d4c0a89f320
54,site,action,1998,MAG,TotalHealth,"#In studies reported in 1991, the preferential site of action for the kavalactones, which are the pharmacologically-active constituents in kava, was the","#In studies reported in 1991, the preferential site of action for the kavalactones, which are the pharmacologically-active constituents in kava, was the",8fafee4f56f0553277c1e9bf05f8d4d4
55,site,action,1998,ACAD,EarNoseThroat,#corticosteroids. Adverse effects can occur at the site of action and as a result of systemic absorption. The local side effects of intranasal,#corticosteroids. Adverse effects can occur at the site of action and as a result of systemic absorption. The local side effects of intranasal,bfdd8d2f2eabd2122cf6bf03583116bf
56,place,action,2019,ACAD,Naval War College Review,"#away from the place of origin or expected place of action of the force concerned. "" In the case of Germany it can be","#away from the place of origin or expected place of action of the force concerned. "" In the case of Germany it can be",db535f408fc172c67e22081fb5528be5
57,place,action,2012,WEB,slideshare.net,#to do what I want to do. Place of action The headquarters of Pa'tothom. At the entrance. People to whom the action,#to do what I want to do. Place of action The headquarters of Pa'tothom. At the entrance. People to whom the action,44de4e7597cff1a6eab3c765ee8484b0
58,place,action,2012,WEB,plosone.org,"#and the proteins are posttranslationally targeted to the place of action, the organelle they originally came from. Evolutionary relics documenting such processes have","#and the proteins are posttranslationally targeted to the place of action, the organelle they originally came from. Evolutionary relics documenting such processes have",085fe96eb19181b3ebb577c49123d33a
59,place,action,2012,WEB,12step.org,"#have found that willingness can serve in the place of action where we are unable to contact the person we have harmed. However,","#have found that willingness can serve in the place of action where we are unable to contact the person we have harmed. However,",d2b73fbb65dc5b72f9da72873193adf0
60,place,action,2012,BLOG,dailytradealert.com,"#the fall elections, so inaction took the place of action. # Now, with elections again a few years off, both parties","#the fall elections, so inaction took the place of action. # Now, with elections again a few years off, both parties",e477182054b440036b806d505d274966
61,place,action,2012,BLOG,blogs.adobe.com,"#energy, talents, and skills into a place of action for us. # I think it is serendipity! One of Adobe's","#energy, talents, and skills into a place of action for us. # I think it is serendipity! One of Adobe's",98b771c9fc2b109753303aee6ef82519
62,place,action,2002,SPOK,Fox_Sunday,"#Senate, the Senate seems to be the place of action this week. It's directed against Tom Daschle, the Senate majority leader","#Senate, the Senate seems to be the place of action this week. It's directed against Tom Daschle, the Senate majority leader",56639490ad1442077dbf4c1b61931935
63,place,action,2001,ACAD,Bioscience,#entity from its place of origin to its place of action. We term these agents vectors. Definition of vectors depends on where one,#entity from its place of origin to its place of action. We term these agents vectors. Definition of vectors depends on where one,b2d0e6870dbc8fbb5c1d64af48aba250
64,place,action,1997,ACAD,AmerStudies,"#carried out by the whole people. Other places of action like streets, taverns, roads, baths, etc., take on the","#carried out by the whole people. Other places of action like streets, taverns, roads, baths, etc., take on the",1c3c501bdcb877f2d9773ac5a72fb95f
65,place,action,1995,NEWS,SanFranChron,#major and often undesirable new plans take the place of action to relieve the plight of hard working taxpayers who must simply have access to,#major and often undesirable new plans take the place of action to relieve the plight of hard working taxpayers who must simply have access to,fa6aea5f381f18aa78d092bac2d877a2
66,place,action,1995,ACAD,Raritan,#For in Dostoevsky's Notes from Underground the place of action is not the concrete and objective outside world. The opening signals do not,#For in Dostoevsky's Notes from Underground the place of action is not the concrete and objective outside world. The opening signals do not,bf534ef960c2f41d1ed17ba2ba6c614c
67,place,action,1995,ACAD,Raritan,"#, and, from the start, the place of action is consciousness itself. The protagonist is not in an underground, the underground","#, and, from the start, the place of action is consciousness itself. The protagonist is not in an underground, the underground",3cefe925c6c6b2ac7f33389d0b873f8a
68,place,action,1993,ACAD,TheologStud,#not everything; it does not take the place of action in the very moment in which it renders action intelligible. 78 # The absolute,#not everything; it does not take the place of action in the very moment in which it renders action intelligible. 78 # The absolute,6b26d65c6924588166df78504c484655
69,place,action,1992,MAG,WashMonth,"#step-by-step cleanup program, complete with dates and places of action. Three days later, Specter reaped huge press coverage when, with cameras","#step-by-step cleanup program, complete with dates and places of action. Three days later, Specter reaped huge press coverage when, with cameras",84e11d86ca7994bb1429aee13a4cc3c4
70,area,action,2014,ACAD,Ref&UserServQ,"#the library. These are all services, areas of action, that support the broader goals. # So what changes are in store","#the library. These are all services, areas of action, that support the broader goals. # So what changes are in store",05673eb2030720e2a5e1f4aaa939cb2f
71,area,action,2013,MAG,HistoryToday,"#to this defensive formation, which restricted the area of action of his most effective lone-ranee weapon. According to the evidence of Villani and","#to this defensive formation, which restricted the area of action of his most effective lone-ranee weapon. According to the evidence of Villani and",521dd1995e619e1a03c92379ec2420d6
72,area,action,2013,ACAD,PoliticsLifeSciences,"#university, which visits provide them with an area of actions which steadily offers the possibility of wrong reactions of affected employees, who are","#university, which visits provide them with an area of actions which steadily offers the possibility of wrong reactions of affected employees, who are",4dcbb29645c0616b6f5f3d8b93db2983
73,area,action,2012,WEB,energybulletin.net,"#may be exchanged and when. # This area of action research and analysis is central to the development of the LQN conceptual model,","#may be exchanged and when. # This area of action research and analysis is central to the development of the LQN conceptual model,",8b994188c5126141ba03e4c3b6ca0d2b
74,area,action,2012,WEB,...mesblogs.latimes.com,#study said. # Furedi said one key area of action would be the placement of effective teachers with lower-performing students. L.A. Supt. John,#study said. # Furedi said one key area of action would be the placement of effective teachers with lower-performing students. L.A. Supt. John,041483c4d338d37fe3f32e876bbff110
75,area,action,2012,BLOG,irevolution.net,"#we all need to pay attention to the areas of action highlighted in the report. "" Below are some of the highlighted areas from","#we all need to pay attention to the areas of action highlighted in the report. "" Below are some of the highlighted areas from",edc9df37bc01eac50835bbc2a9dcac57
76,area,action,2011,ACAD,DeltaKappaGamma,"#of the model is coverage that results in areas of action for schools, universities, and general education of the society. Project EILE","#of the model is coverage that results in areas of action for schools, universities, and general education of the society. Project EILE",0553fea9977747fb5bebdd4271b65071
77,area,action,2004,ACAD,Environment,"## INBio's work focuses on the following areas of action: inventory and monitoring, conservation, communications and education, biodiversity informatics,","## INBio's work focuses on the following areas of action: inventory and monitoring, conservation, communications and education, biodiversity informatics,",aeb1c7e8b3999387ba8decebbdd235a6
78,area,action,2000,ACAD,Environment,"#for environmental activities. JCP covers six component areas of action: policy, legal, and regulatory reform; institutional strengthening and human resource","#for environmental activities. JCP covers six component areas of action: policy, legal, and regulatory reform; institutional strengthening and human resource",deb21dd66d2d1a5c1146c1f5ee3d3b5c
79,area,action,1996,ACAD,MusicEduc,"#. In between these two ends lies the area of action research, which does require some training for the researcher. The use of","#. In between these two ends lies the area of action research, which does require some training for the researcher. The use of",a36801f6fe8119a7c594f33983157b4b
80,area,action,1994,NEWS,AssocPress,#we turned from our central position in the area of action and headed fast for the assault area where our troops were going in and,#we turned from our central position in the area of action and headed fast for the assault area where our troops were going in and,b762e19e53932f03c17dab7a82457f40
81,area,action,1993,ACAD,Environment,"#of six components that comprise broad and distinct areas of action. The first component is a set of policy, legal, and regulatory","#of six components that comprise broad and distinct areas of action. The first component is a set of policy, legal, and regulatory",e19a9feab750ae1f43ea994efefc5303
82,setting,act,1998,NEWS,Houston,"#. He said he has altered the customary setting of Act 1: Instead of being shabby, the Waldners' hotel suite is quite","#. He said he has altered the customary setting of Act 1: Instead of being shabby, the Waldners' hotel suite is quite",c132e54a9ff331c10b84067d82824500
83,setting,actor,2012,BLOG,larouchepac.com,"#. # It is from this kind of setting of actors in a real-life situation, that that categories of meaning of events or conditions","#. # It is from this kind of setting of actors in a real-life situation, that that categories of meaning of events or conditions",6f56006e7f7f0c7b377e651e4ffa269f
84,sphere,relationship,2012,BLOG,...ittletonbrothers.com,"#reason for the lack of involvement, whether in the sphere of relationships or other areas of society. # Lack of commitment is one","#reason for the lack of involvement, whether in the sphere of relationships or other areas of society. # Lack of commitment is one",111dce149fbb0b3dd26d025d9ed543a4
85,sphere,relationship,2012,BLOG,mikeduran.com,#I can't name a single Christian woman in my sphere of relationships that reads these books either. They read secularly published books because,#I can't name a single Christian woman in my sphere of relationships that reads these books either. They read secularly published books because,62afa53fd8c3c4a569145478189998d8
86,sphere,relationship,2012,BLOG,mikeduran.com,#I can't name a single Christian woman in my sphere of relationships that reads these books either. They read secularly published books because,#I can't name a single Christian woman in my sphere of relationships that reads these books either. They read secularly published books because,62afa53fd8c3c4a569145478189998d8
87,boundary,relationship,2018,MOV,Her Side of the Bed,"#paycheck once a week. Believe you me. The boundaries of relationships are a farce. You know, they're just like,","#paycheck once a week. Believe you me. The boundaries of relationships are a farce. You know, they're just like,",b132ddf5884fbc5a19d7f8599ce66103
88,sphere,power,2018,FIC,Fan Fic,"#started. "" What is the significance of those three spheres of power? Why not the others? "" # He smirked. ""","#started. "" What is the significance of those three spheres of power? Why not the others? "" # He smirked. """,79fa0f1aa9d8563f52272931a06934b2
89,sphere,power,2015,MAG,HistoryToday,"#certainly also reflected the southward shift in the Campbells' sphere of power and influence from the Loch Awe area to mid-Argyll and Cowal,","#certainly also reflected the southward shift in the Campbells' sphere of power and influence from the Loch Awe area to mid-Argyll and Cowal,",5e13f43195c0d6d4f222f455992d67f0
90,sphere,power,2012,WEB,pbs.org,"#run for public office. # The Supreme Leader's sphere of power is extended through his representatives, an estimated 2,000 of whom are","#run for public office. # The Supreme Leader's sphere of power is extended through his representatives, an estimated 2,000 of whom are",af306591ff4afeab6b51fa5ad21d5ca4
91,sphere,power,2011,NEWS,Houston,"#, far from the captain's table and any other sphere of power. Nonetheless, it is populated with compelling characters, including a","#, far from the captain's table and any other sphere of power. Nonetheless, it is populated with compelling characters, including a",14270609d0c4493f015b88209367409a
92,sphere,power,2007,ACAD,ChurchHistory,"#(n21) Rather than tracing the boundaries of gendered spheres of power, these female hagiographers were interested in legitimating institutional legacies left behind","#(n21) Rather than tracing the boundaries of gendered spheres of power, these female hagiographers were interested in legitimating institutional legacies left behind",92e9341c8f3e7509374a66dbbcdad4cb
93,sphere,power,2006,ACAD,AmerIndianQ,"#and exhibition content, national museums reveal the nation-state's spheres of power and influence. National museums exist to communicate official meanings, and","#and exhibition content, national museums reveal the nation-state's spheres of power and influence. National museums exist to communicate official meanings, and",f4b095dea08d376ba770c757ea80de06
94,sphere,power,2000,FIC,Bk:ChangeCommand,"#moment of his stay in that exile from his former sphere of power, and he had agreed to take early retirement to get quit","#moment of his stay in that exile from his former sphere of power, and he had agreed to take early retirement to get quit",bfbb69ac73e2f9b5a5424ea8a4783858
