name,label,hasLemma
LexicalUnit_7216,['prayer.n'],['prayer.n']
LexicalUnit_4311,['dose.n'],['dose.n']
LexicalUnit_8647,['caravan.v'],['caravan.v']
LexicalUnit_5020,['illicit.a'],['illicit.a']
LexicalUnit_8180,['embezzler.n'],['embezzler.n']
LexicalUnit_4982,['flaccid.a'],['flaccid.a']
LexicalUnit_2656,['climate fiction.n'],['climate fiction.n']
LexicalUnit_8578,['vaccine series.n'],['vaccine series.n']
LexicalUnit_1017,['stage 3.n'],['stage 3.n']
LexicalUnit_7531,['sensitivity.a'],['sensitivity.a']
LexicalUnit_5847,['mother figure.n'],['mother figure.n']
LexicalUnit_1255,['climate change demonstration.n'],['climate change demonstration.n']
LexicalUnit_8797,['deep water.n'],['deep water.n']
LexicalUnit_6863,['adjacent.a'],['adjacent.a']
LexicalUnit_4189,['pro gun law.n'],['pro gun law.n']
LexicalUnit_5118,['bedsheet.n'],['bedsheet.n']
LexicalUnit_6509,['mass.n'],['mass.n']
LexicalUnit_1817,['self-confident.a'],['self-confident.a']
LexicalUnit_5757,['misinformation.n'],['misinformation.n']
LexicalUnit_5890,['exit.v'],['exit.v']
LexicalUnit_8257,['narrow.a'],['narrow.a']
LexicalUnit_2059,['wrongdoing.n'],['wrongdoing.n']
LexicalUnit_6608,['toughen.v'],['toughen.v']
LexicalUnit_7414,['unhappiness.n'],['unhappiness.n']
LexicalUnit_2317,['twist.n'],['twist.n']
LexicalUnit_6700,['pleasurable.a'],['pleasurable.a']
LexicalUnit_6243,['pandemic epicenter.n'],['pandemic epicenter.n']
LexicalUnit_1179,['circle.n'],['circle.n']
LexicalUnit_1257,['climate change march.n'],['climate change march.n']
LexicalUnit_3423,['cobra.n'],['cobra.n']
LexicalUnit_7832,['noose.n'],['noose.n']
LexicalUnit_2361,['desire.n'],['desire.n']
LexicalUnit_1045,['hormone suppression therapy.n'],['hormone suppression therapy.n']
LexicalUnit_4786,['instrument.n'],['instrument.n']
LexicalUnit_835,['entry hall.n'],['entry hall.n']
LexicalUnit_266,['keep.v away'],['keep.v away']
LexicalUnit_919,['Friday.n'],['Friday.n']
LexicalUnit_2348,['deep.a'],['deep.a']
LexicalUnit_8655,['gondola.v'],['gondola.v']
LexicalUnit_8053,['tasty.a'],['tasty.a']
LexicalUnit_1334,['climate change skepticism.n'],['climate change skepticism.n']
LexicalUnit_5861,['mummy.n'],['mummy.n']
LexicalUnit_1143,['swerve.v'],['swerve.v']
LexicalUnit_6443,['pestilence.n'],['pestilence.n']
LexicalUnit_1575,['frock.n'],['frock.n']
LexicalUnit_3243,['bulgy.a'],['bulgy.a']
LexicalUnit_3785,['hydrofracturing.n'],['hydrofracturing.n']
LexicalUnit_2329,['god-like.a'],['god-like.a']
LexicalUnit_2547,['virus.n'],['virus.n']
LexicalUnit_4812,['perspicacious.a'],['perspicacious.a']
LexicalUnit_4295,['able.a bodied'],['able.a bodied']
LexicalUnit_5952,['captive.a'],['captive.a']
LexicalUnit_6444,['roach.n'],['roach.n']
LexicalUnit_6317,['drain.n'],['drain.n']
LexicalUnit_2626,['hand.v out'],['hand.v out']
LexicalUnit_7030,['filter.n'],['filter.n']
LexicalUnit_5940,['vascillate.v'],['vascillate.v']
LexicalUnit_3313,['mastery.n'],['mastery.n']
LexicalUnit_6167,['agape.a'],['agape.a']
LexicalUnit_5615,['trickle.v'],['trickle.v']
LexicalUnit_2671,['rhetoric.n of climate'],['rhetoric.n of climate']
LexicalUnit_226,['breed.v'],['breed.v']
LexicalUnit_347,['stick.v'],['stick.v']
LexicalUnit_6524,['duel.v'],['duel.v']
LexicalUnit_4563,['destitute.n'],['destitute.n']
LexicalUnit_5867,['stay-at-home-mom.n'],['stay-at-home-mom.n']
LexicalUnit_2237,['moribund.a'],['moribund.a']
LexicalUnit_4466,['child.n'],['child.n']
LexicalUnit_7782,['unfluctuating.a'],['unfluctuating.a']
LexicalUnit_4103,['2nd Amendment denier.n'],['2nd Amendment denier.n']
LexicalUnit_5504,['sail.v'],['sail.v']
LexicalUnit_1426,['climate change pessimist.n'],['climate change pessimist.n']
LexicalUnit_1024,['undifferentiated small cell lung cancer.n'],['undifferentiated small cell lung cancer.n']
LexicalUnit_4963,['starch.v'],['starch.v']
LexicalUnit_6267,['fervor.n'],['fervor.n']
LexicalUnit_4345,['emergency room.n'],['emergency room.n']
LexicalUnit_489,['higher.a'],['higher.a']
LexicalUnit_1832,['or.c'],['or.c']
LexicalUnit_2248,['indebted.a'],['indebted.a']
LexicalUnit_3329,['last-chance tourism.n'],['last-chance tourism.n']
LexicalUnit_3020,['Comprehensive Environmental Response'],['Comprehensive Environmental Response']
LexicalUnit_1703,['colourful.a'],['colourful.a']
LexicalUnit_7563,['peonage.n'],['peonage.n']
LexicalUnit_2129,['class content.n'],['class content.n']
LexicalUnit_8786,['warrior.n'],['warrior.n']
LexicalUnit_2116,['cultivate.v'],['cultivate.v']
LexicalUnit_6951,['lead.n'],['lead.n']
LexicalUnit_6249,['drain.v the lifeblood'],['drain.v the lifeblood']
LexicalUnit_4238,['elation.n'],['elation.n']
LexicalUnit_131,['Non-Methane Volatile Organic Compounds.n'],['Non-Methane Volatile Organic Compounds.n']
LexicalUnit_282,['anxiousness.n'],['anxiousness.n']
LexicalUnit_3179,['sustainable travel practice.n'],['sustainable travel practice.n']
LexicalUnit_5437,['leak.v'],['leak.v']
LexicalUnit_6047,['puzzle.n'],['puzzle.n']
LexicalUnit_8735,['volcano.n'],['volcano.n']
LexicalUnit_3632,['teapot.n'],['teapot.n']
LexicalUnit_5412,['goosestep.v'],['goosestep.v']
LexicalUnit_204,['pissed.a off'],['pissed.a off']
LexicalUnit_8636,['train wreck.n'],['train wreck.n']
LexicalUnit_3721,['crisp.a'],['crisp.a']
LexicalUnit_343,['glue.n'],['glue.n']
LexicalUnit_8790,['warm.v'],['warm.v']
LexicalUnit_3781,['gasoline.n'],['gasoline.n']
LexicalUnit_7226,['ease.v burden.n'],['ease.v burden.n']
LexicalUnit_1152,['modify.v'],['modify.v']
LexicalUnit_1553,['shut.v'],['shut.v']
LexicalUnit_3698,['nourishment.n'],['nourishment.n']
LexicalUnit_909,['company.n'],['company.n']
LexicalUnit_2923,['effort.n'],['effort.n']
LexicalUnit_105,['blow.v'],['blow.v']
LexicalUnit_1463,['oxygen-therapy.n'],['oxygen-therapy.n']
LexicalUnit_1861,['incarcerated.a'],['incarcerated.a']
LexicalUnit_7527,['thin-skinned.a'],['thin-skinned.a']
LexicalUnit_3265,['archetypical.a'],['archetypical.a']
LexicalUnit_3685,['surge.v'],['surge.v']
LexicalUnit_5576,['stretch.v'],['stretch.v']
LexicalUnit_1831,['if.c'],['if.c']
LexicalUnit_7759,['devoutness.n'],['devoutness.n']
LexicalUnit_1498,['atmospheric science.n'],['atmospheric science.n']
LexicalUnit_5002,['lead.n'],['lead.n']
LexicalUnit_5660,['wife.n'],['wife.n']
LexicalUnit_5470,['pounce.v'],['pounce.v']
LexicalUnit_3565,['fixing.n'],['fixing.n']
LexicalUnit_4146,['gun rights debate.n'],['gun rights debate.n']
LexicalUnit_1344,['climate change catastrophe.n'],['climate change catastrophe.n']
LexicalUnit_5643,['wobble.v'],['wobble.v']
LexicalUnit_3113,['Gerald Butts.n'],['Gerald Butts.n']
LexicalUnit_4843,['envy.n'],['envy.n']
LexicalUnit_3754,['sway.v'],['sway.v']
LexicalUnit_1722,['reassure.v'],['reassure.v']
LexicalUnit_2608,['stinky.a'],['stinky.a']
LexicalUnit_620,['smoothie.n'],['smoothie.n']
LexicalUnit_7416,['woe.n'],['woe.n']
LexicalUnit_2191,['threaten.v'],['threaten.v']
LexicalUnit_5364,['cavort.v'],['cavort.v']
LexicalUnit_3474,['ember.n'],['ember.n']
LexicalUnit_6804,['proceed.v'],['proceed.v']
LexicalUnit_5572,['straggle.v'],['straggle.v']
LexicalUnit_9021,['religious fanatic.n'],['religious fanatic.n']
LexicalUnit_3245,['fat.a'],['fat.a']
LexicalUnit_7916,['bypass.n'],['bypass.n']
LexicalUnit_5878,['movement.n'],['movement.n']
LexicalUnit_6030,['musician.n'],['musician.n']
LexicalUnit_897,['civil service.n'],['civil service.n']
LexicalUnit_5444,['lurch.v'],['lurch.v']
